2,242212
2,244225
2,246237
2,248248
2,250231
1,254257
-1,256280
1,258292
1,260304
1,262315
1,264297
2,268314
2,270326
2,272337
2,274348
2,276329
3,280349
3,282359
3,284371
3,286382
3,288363
2,292382
2,294402
2,296414
2,298425
2,300407
1,304426
1,306437
1,308448
1,310459
1,312441
2,316459
2,318471
2,320481
2,322493
2,324474
3,328493
-3,330504
3,332514
3,334525
3,336536
3,338518
2,342536
2,344548
2,346559
-2,348570
2,350579
2,352573
3,356593
3,358604
3,360615
3,362626
3,364607
2,368626
2,370637
2,372648
2,374659
2,376641
2,380659
2,382670
2,384682
2,386736
2,388674
3,392692
3,394703
3,396715
3,398726
-3,400737
3,402718
2,406737
2,408747
2,410767
2,412780
2,414762
1,418781
1,420792
1,422803
1,424814
1,426806
2,430825
2,432836
2,434848
2,436858
2,438840
3,442859
3,444870
3,446880
3,448892
3,450884
2,454903
2,456914
2,458925
2,460936
2,462918
2,466936
2,468947
2,470958
2,473002
2,474962
