5,0
2,5
8,995
13,2998
13,5007
11,7002
13,7007
2,7013
1,7025
8,8016
13,10022
13,12028
13,14037
13,16044
13,18051
11,20028
13,20034
2,20040
8,21042
13,23048
13,25055
13,27063
13,29070
11,31064
13,31069
2,31075
3,31089
8,32076
13,34083
13,36092
13,38103
13,40111
11,42086
13,42091
2,42097
8,43101
13,45109
13,47115
11,49110
13,49115
1,49122
8,50122
13,52125
13,54133
13,56138
13,58148
11,60128
13,60133
2,60139
8,61141
13,63146
13,65166
13,67174
13,69182
11,71155
13,71161
3,71167
8,72167
13,74175
13,76181
13,78192
13,80198
13,82210
13,84217
11,86191
13,86196
2,86203
8,87204
13,89210
13,91220
11,93215
13,93221
3,93227
8,94228
13,96235
13,98245
13,100256
13,102263
13,104269
11,106248
13,106253
2,106260
8,107263
13,109271
13,111281
13,113289
11,115285
13,115290
2,115296
8,116299
13,118307
13,120313
11,122310
13,122315
3,122322
8,123323
13,125330
13,127337
13,129344
13,131354
11,133329
13,133334
2,133341
8,134343
13,136348
13,138356
11,140354
13,140360
1,140366
8,141370
13,143379
13,145388
13,147399
13,149405
11,151381
13,151386
2,151393
8,152397
13,154402
13,156412
11,158404
13,158410
2,158416
3,158424
8,159418
13,161423
13,163430
13,165441
13,167446
13,169454
13,171465
13,173474
11,175460
13,175465
2,175473
8,176474
13,178480
13,180491
13,182503
13,184509
13,186519
11,188509
13,188515
2,188522
8,189525
13,191532
13,193538
13,195547
11,197542
13,197548
2,197555
14,197562
